ty_id,City,grants_and_incentives_1,grants_and_incentives_2,grants_and_incentives_3,grants_and_incentives_4,grants_and_incentives_5,grants_and_incentives_6,grants_and_incentives 6
accra_gh,"Accra, GH",GIPC Investment Incentives,Tax Holidays,Import Duty Exemptions,Diaspora Engagement Programs,Incubator Grants,Development Partner Funding,
lagos_ng,"Lagos, NG",National SME Grants,Lagos State Innovation Hubs,Fintech Sandbox Programs,Diaspora Investment Channels,Youth Enterprise Grants,—,
abidjan_ci,"Abidjan, CI",CEPICI Investment Code Incentives,Tax Exemptions,SME Support Programs,Donor-Backed Grants,WAEMU Development Finance,—,
dakar_sn,"Dakar, SN",Senegal Startup Act Incentives,Digital Economy Tax Breaks,Youth Entrepreneurship Grants,Development Partner Funding,—,—,
kumasi_gh,"Kumasi, GH",National SME Grants,Agro-Processing Incentives,Manufacturing Support Programs,Regional Development Grants,—,—,
ibadan_ng,"Ibadan, NG",National SME Funding,State Youth Enterprise Grants,Manufacturing Incentives,—,—,—,
nairobi_ke,"Nairobi, KE",Startup Tax Incentives,Innovation Grants,Donor-Backed Tech Funding,Regional HQ Incentives,Women & Youth Enterprise Funds,—,
kigali_rw,"Kigali, RW",Investment Code Tax Holidays,Ease of Doing Business Incentives,Startup Support Grants,Clean Governance Incentives,—,—,
dar_es_salaam_tz,"Dar es Salaam, TZ",TIC Investment Incentives,SME Financing Programs,Port-Linked Trade Incentives,Development Partner Grants,—,—,
johannesburg_za,"Johannesburg, ZA",BEE Programs,IDC Industrial Grants,Export Incentives,Innovation Grants,Supplier Development Programs,—,
cape_town_za,"Cape Town, ZA",Green Economy Grants,Tourism Incentives,Startup Grants,Creative Industry Funding,Municipal Innovation Programs,—,
pretoria_za,"Pretoria, ZA",Government Procurement Incentives,Research Grants,Education & Public Sector Programs,—,—,—,
bridgetown_bb,"Bridgetown, BB",International Business Tax Incentives,Tourism Incentives,Creative Industry Incentives,Investment Facilitation Programs,—,—,
kingston_jm,"Kingston, JM",SME Grants,Creative Industry Incentives,Youth Entrepreneurship Funding,Diaspora Investment Programs,—,—,
nassau_bs,"Nassau, BS",Tax-Neutral Investment Regime,Tourism Development Incentives,Financial Services Facilitation,—,—,—,
port_of_spain_tt,"Port of Spain, TT",SME Grants,Energy-Linked Incentives,Export Development Programs,—,—,—,
salvador_br,"Salvador, BR",BNDES SME Financing,Cultural Grants,Tourism Incentives,Social Enterprise Funding,—,—,
cartagena_co,"Cartagena, CO",Tourism Incentives,Port & Logistics Incentives,SME Development Grants,—,—,—,
panama_city_pa,"Panama City, PA",Multinational HQ Tax Regime,Trade & Logistics Incentives,Banking & Finance Facilitation,—,—,—,
medellin_co,"Medellín, CO",Ruta N Innovation Grants,Startup Accelerators,Public–Private Venture Funding,—,—,—,
toronto_ca,"Toronto, ON",Federal Innovation Grants,SR&ED Tax Credits,Newcomer Entrepreneurship Programs,Ontario Business Grants,—,—,
brampton_ca,"Brampton, ON",Federal SME Grants,Workforce Subsidies,Immigrant Business Programs,Municipal Small Business Support,—,—,
mississauga_ca,"Mississauga, ON",Ontario Innovation Vouchers,Export Assistance Grants,Manufacturing Incentives,Logistics Sector Programs,—,—,
vaughan_ca,"Vaughan, ON",Federal SME Incentives,Provincial Business Grants,Construction & Development Programs,Regional Business Supports,—,—,
ottawa_ca,"Ottawa, ON",Federal Innovation Grants,NRC-IRAP Programs,SR&ED Tax Credits,Newcomer Entrepreneurship Programs,Ontario Business Grants,GovTech & Public Procurement Opportunities,
